Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3191886-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3190566-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3190519-2-bedroom-apartment
1 bedroom flat / apartment for rent,"I.w.s Close, Off Platinum Way, Opp Jakande First Gate, Ikate, Lekki, Lagos","₦300,000per month",1,3,4,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/2275918-3-bedroom-shared-apartment
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦9,500,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3199934-luxury-3-bedroom-apartment
4 bedroom semi-detached duplex for rent,"Off Nike Art Gallery Road, Ikate, Lekki, Lagos","₦20,000,000per annum",4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3201366-fully-furnished-4-bedroom-semi-detached-duplex-with-bq-ample-parking
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦18,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3202753-brand-new-4-bedroom-terrace-duplex
1 bedroom mini flat (room and parlour) for rent,"Off Freedom Road, Ikate, Lekki, Lagos","₦8,000,000per annum",1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/3204250-1-bedroom-miniflat
5 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦20,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3152304-fully-furnished-5-bedroom-semi-detached-house-with-a-room-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3148188-2-bedroom-apartment-with-pool
2 bedroom flat / apartment for rent,"Platinum Way, Ikate, Lekki, Lagos","₦15,000,000per annum",2,0,0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3207507-fully-furnished-2-bedroom-apartment-3rd-floor
3 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3075857-newly-built-fully-serviced-3-bedrooms-terraced-duplex-with-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦9,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3208216-newly-built-2-bedroom-apartment
4 bedroom terraced duplex for rent,"Chisco, Ikate, Lekki, Lagos","₦20,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3208331-4-bedroom-terrace-duplex-with-bq
Self contain (single rooms) for rent,"By Platinum, Ikate, Lekki, Lagos","₦3,000,000per annum",0,1,2,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/ikate/3210835-a-room-self-contain
3 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3095071-3-bedroom-massionate-bq
4 bedroom semi-detached duplex for rent,"Victoria Bay Estate, By Nike Art Gallery Road, Ikate, Lekki, Lagos","₦16,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3021406-luxuriously-furnished-4-bedrooms-semi-detached-duplex-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3114307-fully-furnished-exotic-2-bedroom-apartment-in-a-flood-free-area
2 bedroom flat / apartment for rent,"Salem, Ikate, Lekki, Lagos","₦7,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3114469-urban-styled-2-bedroom-apartment-in-an-accessible-and-flood-free-area
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3114491-fully-furnished-urban-styled-2-bedroom-apartment-in-a-flood-free-area
4 bedroom terraced duplex for rent,"Kusenla Road, Ikate, Lekki, Lagos","₦20,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3138030-4-bedroom-terrace-duplex
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦9,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3114345-exotic-2-bedroom-apartment-in-an-accessible-flood-free-area
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3141216-2-bedroom-apartment-available
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦7,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3141402-2-bedrooms-apartment
Office space for rent,"Ikate, Lekki, Lagos","₦75,000per square meter / per annum",0,4,4,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/lekki/ikate/3035308-an-exquisite-office-space
5 bedroom semi-detached duplex for rent,"Off Freedom Way, Ikate, Lekki, Lagos","₦20,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/2850399-5-bedrooms
4 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3142071-4-bedroom-fully-furnished-semi-detached-duplex
3 bedroom terraced duplex for rent,"By Val, Ikate, Lekki, Lagos","₦16,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3148391-fully-service-3-bedroom-terrace-duplex-without-bq
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦9,500,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3139336-2-bedrooms-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3139329-2-bedrooms-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦7,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3131676-super-spacious-2-bedrooms-apartments
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3155103-fully-furnished-2-bedroom-apartment
Commercial land for rent,"Ikate, Lekki, Lagos","₦50,000,000per annum",0,0,0,Commercial land for rent,https://nigeriapropertycentre.com/for-rent/land/commercial-land/lagos/lekki/ikate/3171839-2000sqm-land
4 bedroom semi-detached duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",4,4,4,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3179032-fully-furnished-4-bedroom-semi-detached-duplex
2 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦11,000,000per annum",2,2,3,2 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3179057-luxurious-2-bedroom-detached-duplex-in-a-secure-estate
