,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2885,Alluring 3 Bedroom Terrace Duplex,"Ajah, Lagos","₦ 90,000,000",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2886,Tastefully Finished 4 Bedroom Terrace Duplex,"Ajah, Lagos","₦ 105,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2887,3 Bedroom Terrace Duplex,"Ajah, Lagos","₦ 85,000,000",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/2865057-3-bedroom-terrace-duplex
2888,4 Bedroom Stand Alone Bungalow,"Off Cooperative Villa, Ado-badore, Ibeju-lekki, Badore, Ajah, Lagos","₦ 70,000,000",4 Bedrooms,4 Bathrooms,4 Toilets,4 bedroom detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/badore/2861586-4-bedroom-stand-alone-bungalow
2889,Luxuriously Built 5 Bedroom Detached Duplex,"Ajah, Lagos","₦ 240,000,000",5 Bedrooms,5 Bathrooms,5 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2849635-luxuriously-built-5-bedroom-detached-duplex
2890,"5-bedroom Detached Duplex With Cinema, Office, Bq & Gov Consent.","Royal Gardens Estate, Ajah, Lekki, Lagos","₦ 550,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2736433-5-bedroom-detached-duplex-with-cinema-office-bq-gov-consent
2891,4-bedroom Terrace Duplex With Bq C Of O,"Leon Homes,, Sangotedo, Ajah, Lagos","₦ 170,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/sangotedo/2806752-4-bedroom-terrace-duplex-with-bq-c-of-o
2892,Gorgeously Built 4 Bedrooms Fully Detached Duplex With Bq,"GRA Phase 1, Magodo, Lagos","₦ 250,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-1/2602196-gorgeously-built-4-bedrooms-fully-detached-duplex-with-bq
2893,Luxury 4 Bedroom,"Ajah, Lagos","₦ 270,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2691690-luxury-4-bedroom
2894,Land,"Okun Ajah/ Coaster Road, Ajah, Lagos","₦ 28,000,000",,N/A,N/A,Mixed-use land for sale,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/ajah/2703426-land
